name,lat,lon,place_type,population
Vukavu Village,-19.0217354,178.3256525,village,
Jioma,-19.0247478,178.3378619,village,
unnamed,-19.1597179,-178.4102906,village,
Viria Village,-17.9170443,178.4064683,village,
Rukurukulevu,-18.1377203,177.4241282,village,
Voua,-18.1311945,177.4223875,village,
unnamed,-16.3398841,179.3731213,village,
Mualevu,-17.2414237,-178.9375861,village,
unnamed,-17.2550308,-178.94368,hamlet,
Lomaloma,-17.2902186,-178.9872807,village,
unnamed,-17.3035398,-179.0028021,village,
unnamed,-17.3103772,-178.9910613,village,
Namuaimada,-17.4054801,178.2560899,village,
Nayavuira,-17.4401311,178.2980795,hamlet,
Vaidoko,-17.4102642,178.2446105,hamlet,
Natunuku,-17.4527156,177.7423867,village,
Levukana,-17.2682223,-178.9735503,village,
Mavana,-17.2126343,-178.9321825,village,
Daliconi,-17.2221343,-178.9629484,village,
Uruone,-17.2766031,-178.9795993,village,
Muamua,-17.2485022,-178.9780593,village,
unnamed,-17.4725981,178.3329225,village,
Navolau,-17.3783158,178.2471443,village,
Valevuni,-16.7874787,179.3230804,hamlet,
unnamed,-16.5955144,178.5947076,village,
unnamed,-16.5384438,178.8884578,village,
unnamed,-16.5240288,178.9096602,village,
Nabukadra,-17.5431144,178.3919567,village,
Naocobau,-17.5137038,178.3564791,village,
Nayavutoka,-17.545654,178.4003654,village,
Nanukuloa,-17.4533179,178.2294524,village,
Naiserelagi,-17.4573875,178.2270679,village,
Nanokonoko,-17.4123187,178.2160333,village,
Nakorokula,-17.3529233,178.2290931,village,
Narewa,-17.3722705,178.1006327,village,
Navuavuni,-17.3753423,178.0908051,village,
Rewasa,-17.3960244,178.1803265,village,
Vitawa,-17.3717227,178.1117746,village,
Votua,-17.4902881,177.6652333,village,
Korovou,-17.4427351,177.8934477,village,
Namosau,-17.5343056,177.671106,village,
Nasolo,-17.5631011,177.6771711,village,
Semo,-18.0824336,177.3746781,village,
Nabau,-18.0789247,177.3757115,village,
Malevu,-17.1253996,177.2483313,village,
Yawesa,-17.1153331,177.2606664,village,
Marou,-17.1205596,177.2562927,village,
Nasoqo,-17.0929435,177.2476499,village,
Lomawai,-18.0298048,177.2964804,village,
Emuri,-18.0605659,177.3766469,village,
Navutu,-18.0106938,177.3262569,village,
Bavu,-17.9322521,177.3310456,village,
Yadua,-18.168148,177.4645093,village,
Korokula,-17.9803067,177.2728799,village,
Tau,-17.9697126,177.2802374,village,
Navala,-17.6594461,177.8127988,village,
Abaca,-17.6664801,177.5347473,village,
Vunitogoloa,-17.3701816,178.0586815,village,
Togovere,-17.4045987,178.0111192,village,
Rabulu,-17.4333488,177.941029,village,
Drauniivi,-17.4164483,177.9973501,village,
Vadravadra,-17.5124841,177.6956982,village,
Sasa,-17.4863917,177.7078432,village,
Sorokoba,-17.4903621,177.704174,village,
Talecake,-17.4993565,177.7050993,village,
Volivoli Village,-18.1581887,177.4892893,village,
Nadonumai,-18.1107479,178.4265827,village,
Namotomoto Village,-17.7968332,177.4166354,village,
Saunaka Village,-17.7924627,177.4303526,village,
Nawaka Village,-17.800655,177.4332907,village,
Navutulevu,-18.2373595,177.8063405,village,
Namaqumaqua,-18.2528293,177.831607,village,
Deuba,-18.2483344,177.8860931,village,
Nakorovou,-18.2429547,177.972576,village,
Culanuku,-18.267518,177.9868432,village,
Galoa,-18.2587952,178.0024423,village,
Nakavu,-18.1915144,178.1046626,village,
Nabukavesi,-18.161058,178.2386109,village,
Kalokolevu,-18.1334015,178.3137078,village,
Togalevu,-18.1245672,178.3189816,village,
Muaivuso,-18.1405127,178.3600649,village,
Nabaka,-18.1370929,178.3641319,village,
Waiqanake,-18.1338077,178.3689569,village,
Matanimoli,-18.0847559,178.6030789,village,
Navaka,-18.0846743,178.6022421,village,
Nabudrau,-18.1006118,178.5988303,village,
Nadali,-18.0364464,178.5470905,village,
Bukama,-16.7594586,177.5530746,village,
Dalomo,-16.7827361,177.5242355,village,
Talenaua,-18.2559303,177.916995,village,
Nabua Village,-18.1076431,178.5613715,hamlet,
Dalice Settlement,-17.8006085,179.3958656,village,
Namulomulo,-17.9257116,178.5573451,hamlet,
Sadro Village,-18.2478692,178.1345837,village,
Lutu Village,-17.803473,178.1136492,village,
Niudua Village,-19.0167231,178.337959,village,
Naduru Village,-18.0297931,178.5710615,village,
Namolituva Village,-18.028567,178.5685221,village,
Waibogi,-18.1176631,178.0096242,village,
Toga,-17.9775149,177.6068853,village,
Nahou,-17.9761122,177.5958195,village,
Koronisagana,-17.9715643,177.627988,village,
Nahautabu,-17.9684656,177.6338012,village,
Namalawai,-17.9705704,177.6359124,village,
Vunaqoru,-17.9745482,177.6454738,village,
Naveyago,-17.9651772,177.6487305,village,
Matacaucau Village,-17.7877074,178.5777496,village,
Nadrau,-17.813085,178.5285155,village,
Vatuni Settlement,-17.8179739,179.426157,village,
Vunimale Settlement,-16.6441349,178.9850338,hamlet,
Nakaulau,-18.1218501,178.5580255,village,
Taci,-18.1119755,178.6007925,village,
Naselesele,-16.6976949,-179.8678479,village,
Naimasimasi,-17.9157519,178.5596258,village,
Waikete,-18.0487451,178.6072414,village,
Tubalevu,-17.9422918,178.5747657,village,
Korovou,-17.8079115,178.5395524,town,
Naibalebale,-17.7927049,179.1596361,hamlet,
Tabuya Village,-19.1544845,178.0545508,village,
Navacau Settlement,-18.2495056,177.8705681,village,
Navaga,-17.8106617,177.8872709,village,
Drala,-17.6926214,177.9149817,village,
Buyabuya,-17.6765475,177.9185369,village,
Naivikasara,-18.0953639,178.5839149,village,
Davetalevu Settlement,-17.8387408,178.5251965,hamlet,
Korowiri Village,-16.4779909,179.3913205,village,
Waibasaga Village,-17.8068858,178.1079941,village,
Nadevo Village,-17.8327,177.7755768,village,80
Nadaro Village,-17.9391373,178.5575795,village,
Draiba,-17.6954016,178.8357962,village,
Draubuta Village,-17.9232871,177.9000519,village,
unnamed,-17.9003466,177.8836932,village,
unnamed,-17.8981209,177.8651752,village,
unnamed,-17.8408794,178.3602745,village,
Vunidogoloa (new village),-16.6625366,179.4972644,village,132
Lami Village,-18.1057087,178.4148369,village,
Naroi,-18.5603583,179.9348212,village,550
Keteira,-18.6205261,179.8932742,village,
Nasoki,-18.631882,179.9018851,village,
Cakova,-18.6281631,179.8724956,village,
Naloku,-18.5705363,179.8693943,village,
Vunuku,-18.5819984,179.9178377,village,
Navasa,-18.6032154,179.8986371,hamlet,
Sailoama,-18.6071973,179.8894146,hamlet,
Togoru,-18.21618,178.19666,hamlet,
unnamed,-17.7536313,178.1281046,village,
unnamed,-17.7890685,178.1169391,village,
Tubarua,-17.8922676,178.0603982,village,
Nasava,-17.8850301,178.0809138,village,
unnamed,-17.8634478,178.0877908,village,
Nakorovou,-17.8505213,178.104157,village,
